x_H,y_H
-1.300000,0.562315
-1.290000,0.570564
-1.280000,0.578791
-1.270000,0.586993
-1.260000,0.595168
-1.250000,0.603313
-1.240000,0.611425
-1.230000,0.619502
-1.220000,0.627541
-1.210000,0.635541
-1.200000,0.643498
-1.190000,0.651410
-1.180000,0.659275
-1.170000,0.667089
-1.160000,0.674852
-1.150000,0.682560
-1.140000,0.690211
-1.130000,0.697803
-1.120000,0.705334
-1.110000,0.712800
-1.100000,0.720201
-1.090000,0.727534
-1.080000,0.734797
-1.070000,0.741987
-1.060000,0.749103
-1.050000,0.756142
-1.040000,0.763103
-1.030000,0.769983
-1.020000,0.776782
-1.010000,0.783495
-1.000000,0.790123
-0.990000,0.796664
-0.980000,0.803114
-0.970000,0.809474
-0.960000,0.815740
-0.950000,0.821913
-0.940000,0.827989
-0.930000,0.833968
-0.920000,0.839848
-0.910000,0.845627
-0.900000,0.851305
-0.890000,0.856881
-0.880000,0.862352
-0.870000,0.867718
-0.860000,0.872979
-0.850000,0.878131
-0.840000,0.883176
-0.830000,0.888112
-0.820000,0.892938
-0.810000,0.897653
-0.800000,0.902257
-0.790000,0.906749
-0.780000,0.911129
-0.770000,0.915395
-0.760000,0.919549
-0.750000,0.923589
-0.740000,0.927515
-0.730000,0.931327
-0.720000,0.935026
-0.710000,0.938610
-0.700000,0.942080
-0.690000,0.945436
-0.680000,0.948679
-0.670000,0.951809
-0.660000,0.954826
-0.650000,0.957731
-0.640000,0.960524
-0.630000,0.963206
-0.620000,0.965778
-0.610000,0.968241
-0.600000,0.970596
-0.590000,0.972843
-0.580000,0.974984
-0.570000,0.977020
-0.560000,0.978953
-0.550000,0.980784
-0.540000,0.982515
-0.530000,0.984146
-0.520000,0.985681
-0.510000,0.987121
-0.500000,0.988467
-0.490000,0.989723
-0.480000,0.990889
-0.470000,0.991969
-0.460000,0.992965
-0.450000,0.993880
-0.440000,0.994715
-0.430000,0.995475
-0.420000,0.996161
-0.410000,0.996777
-0.400000,0.997325
-0.390000,0.997810
-0.380000,0.998235
-0.370000,0.998602
-0.360000,0.998916
-0.350000,0.999180
-0.340000,0.999398
-0.330000,0.999574
-0.320000,0.999713
-0.310000,0.999818
-0.300000,0.999894
-0.290000,0.999945
-0.280000,0.999977
-0.270000,0.999993
-0.260000,0.999999
-0.250000,1.000000
-0.240000,1.000000
-0.230000,1.000000
-0.220000,1.000000
-0.210000,1.000000
-0.200000,1.000000
-0.190000,1.000000
-0.180000,1.000000
-0.170000,1.000000
-0.160000,1.000000
-0.150000,1.000000
-0.140000,1.000000
-0.130000,1.000000
-0.120000,1.000000
-0.110000,1.000000
-0.100000,1.000000
-0.090000,1.000000
-0.080000,1.000000
-0.070000,1.000000
-0.060000,1.000000
-0.050000,1.000000
-0.040000,1.000000
-0.030000,1.000000
-0.020000,1.000000
-0.010000,1.000000
0.000000,1.000000
0.010000,1.000000
0.020000,1.000000
0.030000,1.000000
0.040000,1.000000
0.050000,1.000000
0.060000,1.000000
0.070000,1.000000
0.080000,1.000000
0.090000,1.000000
0.100000,1.000000
0.110000,1.000000
0.120000,1.000000
0.130000,1.000000
0.140000,1.000000
0.150000,1.000000
0.160000,1.000000
0.170000,1.000000
0.180000,1.000000
0.190000,1.000000
0.200000,1.000000
0.210000,1.000000
0.220000,1.000000
0.230000,1.000000
0.240000,1.000000
0.250000,1.000000
0.260000,0.999999
0.270000,0.999993
0.280000,0.999977
0.290000,0.999945
0.300000,0.999894
0.310000,0.999818
0.320000,0.999713
0.330000,0.999574
0.340000,0.999398
0.350000,0.999180
0.360000,0.998916
0.370000,0.998602
0.380000,0.998235
0.390000,0.997810
0.400000,0.997325
0.410000,0.996777
0.420000,0.996161
0.430000,0.995475
0.440000,0.994715
0.450000,0.993880
0.460000,0.992965
0.470000,0.991969
0.480000,0.990889
0.490000,0.989723
0.500000,0.988467
0.510000,0.987121
0.520000,0.985681
0.530000,0.984146
0.540000,0.982515
0.550000,0.980784
0.560000,0.978953
0.570000,0.977020
0.580000,0.974984
0.590000,0.972843
0.600000,0.970596
0.610000,0.968241
0.620000,0.965778
0.630000,0.963206
0.640000,0.960524
0.650000,0.957731
0.660000,0.954826
0.670000,0.951809
0.680000,0.948679
0.690000,0.945436
0.700000,0.942080
0.710000,0.938610
0.720000,0.935026
0.730000,0.931327
0.740000,0.927515
0.750000,0.923589
0.760000,0.919549
0.770000,0.915395
0.780000,0.911129
0.790000,0.906749
0.800000,0.902257
0.810000,0.897653
0.820000,0.892938
0.830000,0.888112
0.840000,0.883176
0.850000,0.878131
0.860000,0.872979
0.870000,0.867718
0.880000,0.862352
0.890000,0.856881
0.900000,0.851305
0.910000,0.845627
0.920000,0.839848
0.930000,0.833968
