x,y
0.9986490442,-0.00019150645297
0.99864022609,-0.00019275540541
0.99863137257,-0.00019400935979
0.99862248349,-0.00019526833607
0.99861355871,-0.00019653235432
0.9986045981,-0.00019780143467
0.99859560149,-0.00019907559734
0.99858656875,-0.00020035486261
0.99857749974,-0.00020163925087
0.99856839431,-0.00020292878257
0.99855925231,-0.00020422347825
0.99855007359,-0.00020552335853
0.99854085801,-0.00020682844411
0.99853160542,-0.00020813875578
0.99852231567,-0.0002094543144
0.99851298862,-0.00021077514092
0.9985036241,-0.00021210125637
0.99849422198,-0.00021343268187
0.99848478209,-0.00021476943862
0.9984753043,-0.0002161115479
0.99846578844,-0.00021745903107
0.99845623437,-0.0002188119096
0.99844664193,-0.00022017020501
0.99843701096,-0.00022153393894
0.99842734131,-0.00022290313309
0.99841763283,-0.00022427780926
0.99840788536,-0.00022565798932
0.99839809875,-0.00022704369525
0.99838827283,-0.0002284349491
0.99837840745,-0.00022983177302
0.99836850244,-0.00023123418923
0.99835855766,-0.00023264222006
0.99834857295,-0.00023405588791
0.99833854813,-0.00023547521528
0.99832848305,-0.00023690022475
0.99831837755,-0.00023833093901
0.99830823146,-0.00023976738081
0.99829804463,-0.00024120957301
0.99828781688,-0.00024265753855
0.99827754807,-0.00024411130048
0.99826723801,-0.00024557088192
0.99825688654,-0.0002470363061
0.9982464935,-0.00024850759631
0.99823605873,-0.00024998477597
0.99822558205,-0.00025146786858
0.99821506329,-0.00025295689773
0.99820450229,-0.00025445188709
0.99819389887,-0.00025595286045
0.99818325287,-0.00025745984167
0.99817256412,-0.00025897285473
0.99816183243,-0.00026049192369
0.99815105765,-0.0002620170727
0.9981402396,-0.00026354832602
0.9981293781,-0.00026508570798
0.99811847298,-0.00026662924305
0.99810752407,-0.00026817895576
0.99809653118,-0.00026973487074
0.99808549415,-0.00027129701274
0.99807441279,-0.00027286540659
0.99806328692,-0.00027444007723
0.99805211638,-0.00027602104968
0.99804090097,-0.00027760834907
0.99802964052,-0.00027920200064
0.99801833485,-0.00028080202971
0.99800698377,-0.00028240846172
0.99799558711,-0.00028402132219
0.99798414468,-0.00028564063677
0.99797265629,-0.00028726643117
0.99796112177,-0.00028889873124
0.99794954092,-0.00029053756292
0.99793791356,-0.00029218295225
0.99792623951,-0.00029383492536
0.99791451857,-0.00029549350851
0.99790275056,-0.00029715872804
0.99789093529,-0.00029883061041
0.99787907257,-0.00030050918219
0.99786716221,-0.00030219447003
0.99785520402,-0.0003038865007
0.9978431978,-0.00030558530109
0.99783114336,-0.00030729089817
0.99781904051,-0.00030900331903
0.99780688905,-0.00031072259087
0.9977946888,-0.00031244874099
0.99778243955,-0.00031418179681
0.9977701411,-0.00031592178584
0.99775779326,-0.00031766873571
0.99774539583,-0.00031942267416
0.99773294862,-0.00032118362905
0.99772045141,-0.00032295162832
0.99770790402,-0.00032472670004
0.99769530623,-0.0003265088724
0.99768265785,-0.00032829817368
0.99766995867,-0.0003300946323
0.9976572085,-0.00033189827675
0.99764440711,-0.00033370913567
0.99763155432,-0.0003355272378
0.99761864991,-0.000337352612
0.99760569367,-0.00033918528723
0.9975926854,-0.00034102529258
0.99757962489,-0.00034287265723
0.99756651193,-0.00034472741051
0.9975533463,-0.00034658958185
0.9975401278,-0.00034845920078
0.99752685621,-0.00035033629698
0.99751353133,-0.00035222090021
0.99750015293,-0.00035411304037
0.9974867208,-0.00035601274749
0.99747323473,-0.00035792005168
0.9974596945,-0.00035983498321
0.99744609988,-0.00036175757244
0.99743245068,-0.00036368784987
0.99741874665,-0.0003656258461
0.99740498759,-0.00036757159188
0.99739117327,-0.00036952511804
0.99737730348,-0.00037148645557
0.99736337798,-0.00037345563557
0.99734939655,-0.00037543268924
